identifier,village_name,lat,lon,viirs_radiance,solar_radiation_j,landuse_code,terrain_slope_deg,ndvi,worldpop_density,rainfall_mm
,Location #17194,10.742195,1.550445,0.33583334,6.31869913578776E8,30,1.5005685,0.4471524,0.4161719,1180.5933532714844
,Ahouango,6.656787,2.021174,0.35833335,5.38477307578776E8,30,0.32071236,0.6928122,1.9554186,1142.8547919988632
,Tabota,10.42259,1.020535,0.32583332,6.228774414121094E8,40,1.2364626,0.3221217,0.72622216,1074.0179079771042
,Location #17203,10.87123,2.210223,0.32166666,6.463685502454427E8,30,2.6076193,0.3814764,0.30339718,1107.4591214060783
,Location #17204,10.674057,2.776436,0.33166668,6.455477189121094E8,40,0.7718612,0.23954737,0.5289196,1053.3388150334358
,Kofounon,11.999934,3.109923,0.305,6.64167416078776E8,40,0.2806039,0.17239247,0.50370145,769.9673616886139
,Massi,6.941071,2.27172,0.39583334,5.3308254007877606E8,20,0.56298286,0.56438273,1.4842118,1287.7065057754517
,Location #17195,10.69362,2.162611,0.26,6.41605351578776E8,20,0.5902349,0.39299315,0.2587571,1116.99541503191
,Sougbégba,10.9217,3.162203,0.28833333,6.50329506078776E8,20,1.2761973,0.36402154,0.266772,1034.474890921265
,Tobè Bansou,11.364212,2.291376,0.3325,6.526478259121094E8,40,0.92740995,0.26180378,0.50654197,1014.6476521454751
,Yoko,6.743488,2.600046,0.36,5.2416232257877606E8,10,0.49699688,0.50146395,1.5995965,1304.3870728611946
,Location #17196,11.204734,3.288737,0.32833335,6.545959509121094E8,30,1.2210381,0.3538577,0.14357139,911.5727122724056
,Ouinhi,7.06315,2.533862,0.48499998,5.359218737454427E8,30,0.10972426,0.54183257,1.267842,1323.0058823823929
,Ouoré,10.882105,2.203407,0.29333332,6.463685502454427E8,30,0.9192334,0.311478,0.26684883,1107.4591214060783
,Ouinhi,7.067664,2.502345,0.3625,5.359218737454427E8,40,0.492189,0.5656592,1.6769987,1323.0058823823929
,Bâbô,10.671294,3.645725,0.3025,6.497504637454427E8,30,0.62583005,0.37812585,0.16903725,1204.3522129058838
,Sinawourarou,9.556542,2.819104,0.25416666,6.087474942454427E8,40,0.5632695,0.25919256,0.39191654,1202.9687377214432
,Location #17178,11.033033,2.012128,0.3125,6.45539890078776E8,30,0.5979897,0.34349522,0.39342394,1079.8525549173355
,Location #17185,11.261438,3.312437,0.3025,6.558710024121094E8,20,1.0076205,0.3312062,0.11431363,920.6237416863441
,Kossou,10.732243,2.069914,0.36583334,6.405080209121094E8,40,0.60806555,0.33153462,0.61982495,1134.683099269867
,Location #17179,11.210207,3.290701,0.32416666,6.545959509121094E8,30,0.57278967,0.3762572,0.13153453,911.5727122724056
,Location #17187,10.630921,1.52957,0.30083334,6.27728469078776E8,30,1.0251287,0.28975397,0.58406544,1216.364454627037
,Agbangnizoun,7.021978,1.919832,0.325,5.49105513078776E8,10,1.8324517,0.5596602,1.4303555,1166.8576158881187
,Angaradébou,11.327369,3.058444,0.35416666,6.557582664121094E8,40,0.95836705,0.31195047,1.1902074,877.5184803248849
,Dogué,9.094009,1.958529,0.32416666,5.97203528078776E8,30,1.0633732,0.37163854,0.67272913,1396.719787120819
,Location #17183,9.819698,2.127267,0.36083335,6.151047632454427E8,20,0.79944044,0.41918465,0.19857746,1248.0244104862213
,Location #17160,11.16681,2.153345,0.33833334,6.508290629121094E8,40,0.62609667,0.3255737,0.24852479,1047.9124940633774
,Grand-Popo,6.327218,1.822305,0.38166666,5.71383721578776E8,30,0.15458144,0.44042313,2.2735786,1116.9415308237076
,Location #17161,10.636858,1.512262,0.2575,6.27728469078776E8,20,1.3872205,0.40304655,0.65272814,1216.364454627037
,Ounet,11.17588,2.414277,0.3025,6.51691481078776E8,20,0.40143225,0.30434108,0.52501726,1040.45163025707
,Location #17159,7.380185,2.296734,0.3,5.581057659121094E8,20,1.1210197,0.40212944,0.38862798,1184.1217692494392
,Location #17173,11.211317,2.152442,0.2775,6.508290629121094E8,40,0.07879461,0.3465422,0.35245693,1027.388028293848
,Location #17163,10.855007,2.226783,0.3775,6.463685502454427E8,40,0.31901976,0.33789238,0.18840368,1107.4591214060783
,Mouné,11.161776,3.108653,0.29,6.54369322578776E8,40,1.0269679,0.2738375,0.38087863,963.5445607155561
,Gafa,6.79004,2.509351,0.355,5.2587103107877606E8,20,1.2560749,0.548851,0.7948594,1328.2759712934494
,Korowi,10.806568,3.703972,0.38666666,6.515493462454427E8,40,0.4967659,0.30472437,0.13921015,1192.01297236979
,Damè-Centre,6.85294,2.216872,0.34833333,5.360359479121094E8,10,0.2800634,0.458908,1.2882835,1302.8421918153763
,Location #17157,10.893109,2.254213,0.30416667,6.472177479121094E8,30,0.45287463,0.38156757,0.17651767,1091.6256345510483
,Basso,10.485265,3.740898,0.37,6.478108554121094E8,40,0.6097088,0.25980884,0.47883952,1245.7037636041641
,Location #17164,6.870892,2.255899,0.36083335,5.3308254007877606E8,10,0.49707517,0.49573418,0.80298764,1310.6644744873047
,Sougbégba 2,10.91725,3.155508,0.31833333,6.50329506078776E8,20,1.3171779,0.48301634,0.17452067,1034.474890921265
,Saonzi,10.727839,3.588961,0.29666668,6.497504637454427E8,30,0.52032673,0.2608478,0.4097635,1169.0276210308075
,Location #17156,10.822126,2.243834,0.35,6.443680652454427E8,30,0.7818456,0.3353374,0.1995687,1139.021434187889
,Location #17152,10.704951,1.464052,0.35750002,6.304477932454427E8,20,1.4333162,0.36043167,0.15558629,1172.034067495726
,Location #17168,10.931846,2.254078,0.32333332,6.472177479121094E8,40,0.39438426,0.3158633,0.22758175,1078.5307960510254
,Damè-Centre,6.876151,2.200368,0.335,5.360359479121094E8,10,2.3470807,0.5863542,0.73776126,1308.7640171051025
,Location #17148,10.982304,2.588937,0.33166668,6.50234574078776E8,40,0.35082188,0.26332814,0.15405425,1038.6840863227844
,Location #17115,11.518297,2.370819,0.30166668,6.54060131578776E8,40,1.736537,0.3102933,0.36428025,932.2669124212116
,Goumori,11.219746,2.196396,0.32833335,6.508290629121094E8,40,0.42321527,0.36912364,0.4594017,1027.388028293848
,Location #17124,11.308731,2.665846,0.32416666,6.539768734121094E8,40,0.30916065,0.34454715,0.27125517,985.6585341095924
,Location #17142,10.979639,2.495496,0.27666667,6.49611465078776E8,20,0.66187453,0.39053935,0.13904674,1063.233603913337
,Location #17133,11.080325,2.080237,0.305,6.485654614121094E8,40,0.47881928,0.3484469,0.27989483,1065.8240774422884
