village_name,longitude,latitude,population
Malanville,3.4956274073602427,11.628546908715837,44
Location #7909,2.1697753242217095,7.3771393325960135,108
Dahè,1.9325910152253634,6.524082889587977,198
Kouarfa,1.5586842821886384,10.563093902021976,1297
Bopa,1.9440511093943416,6.62421124874698,281
Location #15653,2.926753243913305,10.172764228589013,41
Tchalinga,1.394359775879793,9.796801416355878,106
Illosso-Saharo,2.5937559977966984,6.733788767240612,101
Takotiéta,1.0263993419350763,10.291833642465008,72
Location #12525,2.8328698353886947,10.175550030034149,59
Location #13073,2.5844407017596938,6.677054107867888,54
Tchaourou,2.6940653737666884,8.977838544199697,64
Karhoum-Dora,1.4537420070645999,9.854968041899243,36
Kandérou,2.566676962891808,11.626510082909178,85
Ouenou,3.535980901721476,9.925461153226491,34
Location #17094,2.4157308155999653,11.517475407782582,21
Kalalé,3.307136961530691,10.393771731755354,268
Location #16590,2.780824084734482,10.858445164876537,31
Sori,2.756629687020131,10.742607179298476,49
Bopa,1.9463460222560114,6.629544640664873,67
Materi,1.0382747771250445,10.65372862978657,82
Tchaourou,2.5742261541866633,9.242981493620453,52
KORA SEKO KPAROU,3.418559134969444,9.935181288478052,39
Location #4166,2.8900634046258844,9.44007534442961,245
Banikoara,2.4937048627374114,11.222099994425372,31
Location #6753,0.8574190662726892,10.482932618152342,134
Kpinnou,1.7561031300396983,6.5995375901753,59
Wondou,2.992499362338726,9.571833314215963,121
Malanville,3.4567263071082115,11.63777757650122,376
Kouandé,1.7962183276973431,10.381618979293316,36
Location #11322,2.696942097293307,7.697532841548875,67
Location #12026,1.0971098627108493,10.307360442518387,62
Pénélan,1.475437203894228,9.254305237037872,57
Ahouango,2.0373263920825107,6.6758956809309025,54
Péhunco,2.009228372797443,10.243539471569765,80
Location #11997,2.381328659898924,11.117293311430931,62
Ahouango,2.02150570741579,6.650925588104354,332
Gninsy,3.021177531655637,9.583677906606784,57
Ougoubigo,2.4550633040452117,11.620738826144203,44
Djougou,1.7975461589523616,9.723753737285593,98
Location #14891,1.3908048544840599,10.107711394018946,46
Mlinkpin-Guingnin,2.1676278800621698,7.318538715969511,276
Zangnanado,2.401649334257169,7.208339405982533,307
Ouidah,2.0937332297821287,6.445809160162931,173
Ouèssè,2.4117774441111974,8.352241997726766,459
Ankouamon,2.437194004299012,11.650698671901669,52
Dogbo,1.7680813474809145,6.821298567403351,77
Bobéna,3.536293605326433,10.793405873517726,995
Location #14222,1.4891433798725082,10.383209975674362,49
Agbangnizoun,1.9861136521757945,7.095048452171043,544
TININGOU,1.3612856385766703,9.921591221821021,170
Bopa,2.0180455120919003,6.729197781871069,82
Location #10193,1.143236645923417,10.501882905499334,77
Location #16664,2.9310864409014807,10.998059036773862,31
Location #6695,1.7741811116909798,7.370384104923185,134
Location #14216,1.3618394689782134,9.594462185886147,49
Location #13556,2.280022877433167,7.266474539039218,52
Ichougbo,2.6031305264533713,7.030267928884986,70
Pobè,2.693325219791046,6.9356435960050336,67
Location #10516,2.6965712037529626,10.004473353293081,75
Kalalé,3.3589582813039254,10.312406592073575,101
Djougou,1.643355405328278,9.688467882811292,184
Pobè,2.7018301342918853,7.0728477215808425,36
Ojassa,2.7508822086092577,7.04002507786123,93
Kpénati,2.38559282386566,10.320621877634263,34
Taba,1.7558334375602414,9.233696846514125,77
Dassa-Zoumé,2.1875961471427634,7.852790144386102,106
Tchaourou,2.69572788898831,9.229257132482164,46
Keroukpogo,2.6457688154444083,10.06513463583872,106
Location #12099,2.0492059023974445,6.727556206860653,62
Banamè,2.3527476498083324,7.299061711557128,54
Sèmèrè II,1.3779181898704487,9.503610705786976,88
Papara,2.905183171781654,10.163873091152375,121
Location #7876,2.7397757915469665,6.894122904491251,111
Location #12666,1.879206240403235,7.514525952280987,57
Kongou,2.92950037798948,11.217883713770286,281
Ouaké,1.363640948792524,9.776980901532909,54
Dassa-Zoumé,2.130646644809909,7.861351630181708,433
Zoungou-Pantrossi,2.9750439294501145,10.78555147972787,67
Dassa-Zoumé,2.1658475137979174,7.611993068967047,52
Manigri,1.6941132877236174,8.98362878422398,46
Sekere,2.459430336343529,10.458905518149146,44
Gamia,2.7316635346970335,10.496759860113292,131
Savalou,1.8580072358654194,7.664626909078706,85
Location #12650,2.0640329663568164,11.032654922322466,59
Bagudo,3.5782792698111776,11.664313680335672,186
Za-Tanta,2.1774405000171457,7.261834254130587,209
Dassa-Zoumé,2.1105345666876327,7.6574128801588826,121
Toué,2.3278369883138827,7.2004272871385275,111
Ita-Djebou,2.6243413355797345,6.8157711096719185,64
Dipoli,1.0008915377887115,10.343799580037839,41
Doutou,1.8865548634082867,6.5823238474115975,64
Tori-Bossito,2.1849028947207962,6.564769690271141,80
Location #16277,2.6508906026704375,11.320390228894858,36
Tchaourou,2.5154837241857044,9.030063770734332,62
Djougou,1.5412389420109216,9.737480209172729,165
Location #2453,2.1300353099696436,6.763818265979155,469
Location #11358,2.6354512487235744,9.66388608996495,67
Gah Gbérou,2.9448994687655734,9.42045348760286,70
Gbéssaka,3.4039142046673967,10.97266942529013,137
Tayakou,1.2211485669556275,10.559309309746014,335
Natitingou,1.4140815391311918,10.360178664846638,70
Bopa,1.9497354722618174,6.715717015854236,72
Gamboré,2.1865504267350455,10.887327915966877,28
Tanguieta,1.278536673913947,10.674090304124363,111
Location #10149,3.543888412568047,10.666287975869043,77
BAANI,3.1228639136992276,10.0029000137541,116
Location #9162,0.8569988732712057,10.741184600724017,90
Location #1456,0.8794384866355669,10.58277212989819,840
Kpanroun,2.356044541019883,6.665889634510555,183
Igbo-Assan,2.557454366556435,6.827066881599019,139
Location #7666,2.4749828951803234,7.835212902321142,113
Location #8671,1.8454254054821695,9.871615644288662,95
Malanville,3.1705467603189263,11.720380602865985,149
Dogbo,1.8211264856444567,6.836128059921544,276
Djougou,1.6783588844030395,9.674668925362676,131
Djidja,1.8974386245667851,7.357292399093554,36
Parakou,2.6646937499229986,9.363149102141232,358
Kouaba,1.2361557296623944,10.241942582328967,77
Kétou,2.4495896358242155,7.386211880908117,41
Materi,1.0437149903978726,10.655851820169556,72
Allada,2.0521272536519906,6.671459665698123,49
Tchaourou,2.823131493607178,9.095296580331853,57
Boukombé,1.037124817620682,10.213317225613107,116
Bafounou,2.5156170962240845,11.374966598524429,54
Bopa,1.9531481160348714,6.6445443549220204,242
Bagou,2.6830121902730566,10.854916678224422,101
Location #15733,2.295158131595731,7.472065817408258,41
Massé,2.618525176580588,7.210604874463098,108
Agonvy,2.5907982203418407,6.870023656462858,54
Adido,2.5522183492320814,6.839702392170347,302
Ouaké,1.3749535427063075,9.641474108147584,52
Location #16677,2.648911976825846,11.290062147265441,31
Houéyogbé,1.835915215220103,6.588955467746892,232
Houéyogbé,1.8477793543538665,6.574781660539548,137
Lokossa,1.9005874391948456,6.767875270663514,59
Location #15473,2.62375201857217,11.615240332210984,41
Kouandé,1.7921384897841457,10.358335772818533,188
Dangazori,2.9820503346795264,12.279077879044248,62
Bopa,1.8355911066531447,6.673264177624749,64
Kalalé,3.491549324765959,10.223789988754486,260
Nalouhou 1,1.6201022333126869,9.762723341856116,64
Allada,2.1802849786440563,6.643693082341982,52
Kouporgou,1.0672829399654955,10.257359331998973,28
Kouandé,1.7429466845276818,10.560055169405798,36
Songorogougou,2.358801041630284,11.272338788365927,54
Dogbo,1.678471321195799,6.734170014375728,80
Ganoussirou,2.524810617609336,11.456437377024013,39
Malanville,3.575858335118477,11.671607480764965,485
Location #5446,1.8942482406480918,7.4279329965193694,175
Kpadé,2.9041997079545703,11.035675215692978,72
Location #1872,2.3020775170091445,11.310384283579136,634
Ouaké,1.509458816058553,9.459433482213822,93
Ita-Djebou,2.6562555039718525,6.849555358847112,93
Aledjo-Koura,1.4305277112791082,9.403505125533162,175
Tantéga,1.0172891173857355,10.83818513701625,161
